accx,accy,accz,gyrX,gyrY,gyrZ,thetaG,phiG,thetaAm,phiAm,thetaC1,phic1,alphac,speed
-1.58,-0.967,-0.196,-46.914,22.522,238.619,-524.834,-748.308,-58.011,78.527,-26.877,57.821,-50.116,-155.574
-1.801,-0.441,1.073,-70.413,21.484,234.652,-524.683,-748.801,-57.217,157.671,-27.009,58.258,-50.978,-155.619
-1.801,-0.441,1.073,-70.413,21.484,234.652,-524.533,-749.294,-57.217,157.671,-27.14,58.691,-51.785,-155.665
-1.724,-0.503,0.215,-50.881,18.433,238.925,-524.385,-749.701,-72.395,113.199,-27.424,58.773,-24.813,-155.714
-1.724,-0.503,0.215,-50.881,18.433,238.925,-524.256,-750.057,-72.395,113.199,-27.727,58.911,-24.846,-155.758
-1.724,-0.503,0.215,-50.881,18.433,238.925,-524.127,-750.413,-72.395,113.199,-28.027,59.049,-24.878,-155.801
-51.837,-68.502,-62.87,-146.342,37.842,222.628,-523.863,-751.438,-29.14,47.455,-27.736,57.767,-22.401,-157.107
-51.837,-68.502,-62.87,-146.342,37.842,222.628,-523.598,-752.462,-29.14,47.455,-27.449,56.497,-19.826,-158.414
-51.837,-68.502,-62.87,-146.342,37.842,222.628,-523.333,-753.487,-29.14,47.455,-27.164,55.241,-17.154,-159.72
-12.326,-18.695,-1.738,-864.98,203.555,17.791,-521.908,-759.541,-33.285,84.688,-25.603,48.642,-1.172,-160.031
-12.326,-18.695,-1.738,-864.98,203.555,17.791,-520.483,-765.596,-33.285,84.688,-24.058,42.109,16.973,-160.341
-12.326,-18.695,-1.738,-864.98,203.555,17.791,-519.058,-771.651,-33.285,84.688,-22.528,35.641,34.561,-160.652
-6.503,-12.192,-3.189,-1028.01,250.003,48.248,-517.308,-778.847,-27.295,75.341,-20.583,27.845,52.124,-160.816
-6.503,-12.192,-3.189,-1028.01,250.003,48.248,-515.558,-786.043,-27.295,75.341,-18.658,20.127,64.694,-160.98
-6.503,-12.192,-3.189,-1028.01,250.003,48.248,-513.808,-793.239,-27.295,75.341,-16.752,12.487,73.435,-161.143
-23.043,0.062,6.316,-1081.54,235.904,111.115,-512.157,-800.81,-74.671,-179.435,-15.451,1.948,80.304,-161.724
-23.043,0.062,6.316,-1081.54,235.904,111.115,-510.506,-808.381,-74.671,-179.435,-14.163,-8.485,84.992,-162.305
-23.043,0.062,6.316,-1081.54,235.904,111.115,-508.854,-815.952,-74.671,-179.435,-12.888,-18.814,88.406,-162.886
-20.5,-7.968,-38.352,-619.127,257.267,182.893,-506.796,-820.905,-27.625,11.737,-10.692,-24.147,90.343,-163.476
-20.5,-7.968,-38.352,-619.127,257.267,182.893,-504.995,-825.238,-27.625,11.737,-8.811,-28.722,91.627,-163.993
-9.271,7.911,-10.444,190.639,377.935,116.852,-502.35,-823.904,-35.283,-37.142,-6.064,-27.287,129.813,-164.226
-9.271,7.911,-10.444,190.639,377.935,116.852,-499.326,-822.379,-35.283,-37.142,-2.914,-25.65,131.181,-164.493
-9.271,7.911,-10.444,190.639,377.935,116.852,-496.681,-821.044,-35.283,-37.142,-0.226,-24.245,132.369,-164.727
-2.581,-5.588,6.493,370.451,413.763,91.156,-493.784,-818.451,-16.767,139.284,2.906,-19.658,134.766,-164.792
-2.581,-5.588,6.493,370.451,413.763,91.156,-490.888,-815.858,-16.767,139.284,6.007,-15.116,137.518,-164.857
-2.581,-5.588,6.493,370.451,413.763,91.156,-487.992,-813.265,-16.767,139.284,9.077,-10.62,140.576,-164.922
12.862,7.518,-51.488,361.662,242.618,10.528,-486.051,-810.372,13.885,-8.308,11.335,-7.302,143.018,-164.551
12.862,7.518,-51.488,361.662,242.618,10.528,-484.595,-808.202,13.885,-8.308,13.017,-4.842,144.919,-164.274
