accx,accy,accz,gyrX,gyrY,gyrZ,thetaG,phiG,thetaAm,phiAm,thetaC1,phic1,alphac
0.148,0.924,-9.414,-7.308,-0.112,1.616,68.637,380.644,0.899,-5.607,0.267,-5.803,-59.419
0.148,0.924,-9.414,-7.308,-0.112,1.616,68.636,380.593,0.899,-5.607,0.272,-5.862,-59.396
-0.388,0.848,-9.525,0.688,-0.295,1.555,68.635,380.597,-2.323,-5.085,0.244,-5.849,-61.274
-0.388,0.848,-9.525,0.688,-0.295,1.555,68.633,380.602,-2.323,-5.085,0.216,-5.836,-61.257
-0.388,0.848,-9.525,0.688,-0.295,1.555,68.631,380.607,-2.323,-5.085,0.188,-5.823,-61.24
-0.843,0.843,-9.596,5.266,0.01,1.494,68.631,380.644,-5,-5.019,0.137,-5.771,-61.22
-0.843,0.843,-9.596,5.266,0.01,1.494,68.631,380.675,-5,-5.019,0.085,-5.726,-61.199
-0.843,0.843,-9.596,5.266,0.01,1.494,68.631,380.712,-5,-5.019,0.035,-5.675,-61.18
-0.335,0.824,-9.563,8.44,0.315,1.433,68.633,380.763,-2,-4.923,0.016,-5.607,-61.195
-0.335,0.824,-9.563,8.44,0.315,1.433,68.635,380.822,-2,-4.923,-0.001,-5.53,-61.216
-0.335,0.824,-9.563,8.44,0.315,1.433,68.637,380.889,-2,-4.923,-0.018,-5.444,-61.24
0.397,0.785,-9.501,13.444,0.376,1.371,68.64,380.97,2.387,-4.725,0.009,-5.341,-61.308
0.397,0.785,-9.501,13.444,0.376,1.371,68.642,381.064,2.387,-4.725,0.036,-5.223,-61.382
0.397,0.785,-9.501,13.444,0.376,1.371,68.645,381.158,2.387,-4.725,0.062,-5.106,-61.455
0.594,0.757,-9.443,21.074,0.071,1.371,68.645,381.285,3.587,-4.581,0.098,-4.951,-61.551
0.594,0.757,-9.443,21.074,0.071,1.371,68.646,381.411,3.587,-4.581,0.133,-4.797,-61.646
0.594,0.757,-9.443,21.074,0.071,1.371,68.646,381.538,3.587,-4.581,0.168,-4.644,-61.739
0.364,0.627,-9.558,29.924,-0.173,1.371,68.645,381.747,2.176,-3.755,0.187,-4.387,-61.864
0.364,0.627,-9.558,29.924,-0.173,1.371,68.644,381.927,2.176,-3.755,0.206,-4.167,-61.97
0.364,0.627,-9.558,29.924,-0.173,1.371,68.643,382.136,2.176,-3.755,0.224,-3.914,-62.089
-0.374,0.441,-9.817,31.816,0.01,1.371,68.643,382.359,-2.177,-2.57,0.2,-3.636,-62.185
-0.374,0.441,-9.817,31.816,0.01,1.371,68.643,382.582,-2.177,-2.57,0.176,-3.361,-62.278
-0.374,0.441,-9.817,31.816,0.01,1.371,68.643,382.804,-2.177,-2.57,0.153,-3.088,-62.369
-0.378,0.364,-9.85,27.422,0.559,1.433,68.647,382.996,-2.198,-2.116,0.134,-2.851,-61.266
-0.378,0.364,-9.85,27.422,0.559,1.433,68.65,383.161,-2.198,-2.116,0.115,-2.648,-61.335
-0.378,0.364,-9.85,27.422,0.559,1.433,68.654,383.325,-2.198,-2.116,0.096,-2.447,-61.402
0.33,0.306,-9.783,23.027,0.864,1.433,68.66,383.486,1.933,-1.794,0.121,-2.249,-61.501
0.33,0.306,-9.783,23.027,0.864,1.433,68.666,383.648,1.933,-1.794,0.146,-2.053,-61.598
0.33,0.306,-9.783,23.027,0.864,1.433,68.671,383.786,1.933,-1.794,0.17,-1.886,-61.682
0.675,0.278,-9.826,20.708,0.742,1.616,68.676,383.931,3.929,-1.619,0.214,-1.711,-61.782
0.675,0.278,-9.826,20.708,0.742,1.616,68.68,384.055,3.929,-1.619,0.257,-1.563,-61.871
0.675,0.278,-9.826,20.708,0.742,1.616,68.686,384.2,3.929,-1.619,0.3,-1.391,-61.968
0.192,0.144,-9.836,18.327,0.254,1.982,68.687,384.328,1.116,-0.837,0.31,-1.233,-62.036
0.192,0.144,-9.836,18.327,0.254,1.982,68.689,384.438,1.116,-0.837,0.32,-1.099,-62.094
0.192,0.144,-9.836,18.327,0.254,1.982,68.691,384.566,1.116,-0.837,0.33,-0.944,-62.16
-0.474,0.038,-9.999,12.773,0.01,2.226,68.691,384.643,-2.715,-0.22,0.299,-0.845,-62.175
-0.474,0.038,-9.999,12.773,0.01,2.226,68.691,384.733,-2.715,-0.22,0.269,-0.733,-62.195
-0.474,0.038,-9.999,12.773,0.01,2.226,68.691,384.822,-2.715,-0.22,0.24,-0.621,-62.215
-0.551,0.057,-9.965,5.327,0.01,2.165,68.691,384.854,-3.163,-0.33,0.206,-0.581,-62.206
-0.551,0.057,-9.965,5.327,0.01,2.165,68.691,384.891,-3.163,-0.33,0.172,-0.534,-62.2
-0.551,0.057,-9.965,5.327,0.01,2.165,68.691,384.928,-3.163,-0.33,0.139,-0.487,-62.193
-0.182,0.072,-9.86,-0.411,0.132,1.921,68.692,384.926,-1.057,-0.417,0.128,-0.49,-60.471
-0.182,0.072,-9.86,-0.411,0.132,1.921,68.693,384.923,-1.057,-0.417,0.117,-0.492,-60.463
-0.182,0.072,-9.86,-0.411,0.132,1.921,68.694,384.921,-1.057,-0.417,0.106,-0.495,-60.455
