accx,accy,accz,gyrX,gyrY,gyrZ,thetaG,phiG,thetaAm,phiAm,thetaC1,phic1,alphac
2.739,0.666,-9.4,-14.344,0.3,-0.745,-164.744,715.473,16.207,-4.05,0.156,-0.516,-48.553
1.006,0.148,-9.151,-0.061,-2.324,0.537,-164.758,715.473,6.27,-0.929,0.201,-0.52,-49.52
1.006,0.148,-9.151,-0.061,-2.324,0.537,-164.775,715.472,6.27,-0.929,0.243,-0.525,-49.543
1.006,0.148,-9.151,-0.061,-2.324,0.537,-164.791,715.472,6.27,-0.929,0.285,-0.529,-49.567
-4.209,-0.072,-9.616,7.08,-0.554,0.842,-164.795,715.521,-23.641,0.428,0.041,-0.463,-49.452
-4.209,-0.072,-9.616,7.08,-0.554,0.842,-164.798,715.564,-23.641,0.428,-0.199,-0.406,-49.335
-4.209,-0.072,-9.616,7.08,-0.554,0.842,-164.803,715.62,-23.641,0.428,-0.439,-0.333,-49.23
-0.105,0.187,-10.037,0.671,1.521,-0.074,-164.793,715.624,-0.601,-1.066,-0.43,-0.336,-49.233
-0.105,0.187,-10.037,0.671,1.521,-0.074,-164.783,715.629,-0.601,-1.066,-0.42,-0.338,-49.239
-0.105,0.187,-10.037,0.671,1.521,-0.074,-164.772,715.634,-0.601,-1.066,-0.409,-0.34,-49.244
2.715,0.172,-9.64,4.211,0.544,-0.379,-164.768,715.663,15.728,-1.025,-0.244,-0.313,-49.357
2.715,0.172,-9.64,4.211,0.544,-0.379,-164.764,715.693,15.728,-1.025,-0.08,-0.287,-49.47
2.715,0.172,-9.64,4.211,0.544,-0.379,-164.761,715.722,15.728,-1.025,0.083,-0.261,-49.582
2.562,0.101,-9.687,3.418,0.117,0.231,-164.76,715.746,14.812,-0.595,0.231,-0.237,-49.685
2.562,0.101,-9.687,3.418,0.117,0.231,-164.759,715.767,14.812,-0.595,0.378,-0.217,-49.785
2.562,0.101,-9.687,3.418,0.117,0.231,-164.758,715.794,14.812,-0.595,0.523,-0.19,-49.888
-1.245,0.177,-9.812,0.915,-0.005,0.598,-164.758,715.8,-7.231,-1.035,0.446,-0.192,-49.839
-1.245,0.177,-9.812,0.915,-0.005,0.598,-164.758,715.806,-7.231,-1.035,0.369,-0.193,-49.792
-1.245,0.177,-9.812,0.915,-0.005,0.598,-164.758,715.812,-7.231,-1.035,0.293,-0.194,-49.745
-2.045,0.125,-9.716,0,-0.493,0.537,-164.761,715.812,-11.883,-0.734,0.168,-0.199,-48.664
-2.045,0.125,-9.716,0,-0.493,0.537,-164.765,715.812,-11.883,-0.734,0.043,-0.205,-48.584
