accx,accy,accz,gyrX,gyrY,gyrZ,thetaG,phiG,thetaAm,phiAm,thetaC1,phic1,alphac,speed
-0.575,0.326,-8.84,15.88,-1.518,-0.586,-38.979,1205.42,-3.717,-2.11,-0.854,-1.673,-66.924,-709.181
-0.134,0.211,-9.381,34.313,0.741,-0.525,-38.973,1205.7,-0.819,-1.287,-0.847,-1.357,-67.509,-709.185
-0.134,0.211,-9.381,34.313,0.741,-0.525,-38.968,1205.94,-0.819,-1.287,-0.84,-1.082,-67.659,-709.188
-0.134,0.211,-9.381,34.313,0.741,-0.525,-38.962,1206.21,-0.819,-1.287,-0.833,-0.772,-67.827,-709.192
0.263,0.096,-9.865,42.553,0.802,-0.158,-38.957,1206.51,1.529,-0.556,-0.803,-0.431,-68.035,-709.186
0.263,0.096,-9.865,42.553,0.802,-0.158,-38.951,1206.81,1.529,-0.556,-0.774,-0.093,-68.237,-709.179
0.263,0.096,-9.865,42.553,0.802,-0.158,-38.945,1207.11,1.529,-0.556,-0.744,0.242,-68.434,-709.172
0.206,0.091,-9.941,46.46,-0.724,-0.158,-38.95,1207.43,1.187,-0.524,-0.731,0.604,-68.621,-709.167
0.206,0.091,-9.941,46.46,-0.724,-0.158,-38.956,1207.81,1.187,-0.524,-0.718,1.016,-68.827,-709.161
0.206,0.091,-9.941,46.46,-0.724,-0.158,-38.961,1208.13,1.187,-0.524,-0.705,1.371,-69.003,-709.156
0.34,0.235,-10.626,50.183,-4.57,-2.111,-38.998,1208.53,1.832,-1.265,-0.721,1.802,-69.177,-709.146
0.34,0.235,-10.626,50.183,-4.57,-2.111,-39.03,1208.88,1.832,-1.265,-0.732,2.171,-69.326,-709.138
0.115,-0.201,-10.387,50.488,-11.222,-6.689,-39.108,1209.24,0.634,1.109,-0.808,2.563,-69.41,-709.135
0.115,-0.201,-10.387,50.488,-11.222,-6.689,-39.187,1209.59,0.634,1.109,-0.883,2.951,-69.492,-709.132
0.115,-0.201,-10.387,50.488,-11.222,-6.689,-39.277,1209.99,0.634,1.109,-0.97,3.392,-69.583,-709.129
-0.388,-0.192,-10.118,46.948,-15.678,-9.619,-39.402,1210.37,-2.195,1.085,-1.125,3.797,-69.586,-709.14
-0.388,-0.192,-10.118,46.948,-15.678,-9.619,-39.512,1210.7,-2.195,1.085,-1.261,4.144,-69.586,-709.15
-0.388,-0.192,-10.118,46.948,-15.678,-9.619,-39.622,1211.03,-2.195,1.085,-1.395,4.487,-69.587,-709.159
-0.479,-0.886,-9.764,43.225,-17.875,-12.427,-39.747,1211.33,-2.796,5.184,-1.551,4.839,-69.57,-709.171
-0.479,-0.886,-9.764,43.225,-17.875,-12.427,-39.89,1211.67,-2.796,5.184,-1.727,5.236,-69.554,-709.185
-0.704,-1.417,-9.228,38.159,-15.983,-11.267,-40.002,1211.94,-4.312,8.733,-1.88,5.575,-67.888,-709.203
-0.704,-1.417,-9.228,38.159,-15.983,-11.267,-40.114,1212.21,-4.312,8.733,-2.032,5.911,-67.854,-709.221
-0.704,-1.417,-9.228,38.159,-15.983,-11.267,-40.241,1212.51,-4.312,8.733,-2.2,6.286,-67.853,-709.241
-0.354,-1.331,-9.505,29.858,-9.636,-6.628,-40.309,1212.72,-2.114,7.972,-2.276,6.541,-67.889,-709.25
-0.354,-1.331,-9.505,29.858,-9.636,-6.628,-40.386,1212.96,-2.114,7.972,-2.362,6.827,-67.928,-709.26
-0.354,-1.331,-9.505,29.858,-9.636,-6.628,-40.453,1213.17,-2.114,7.972,-2.436,7.077,-67.963,-709.269
-0.139,-1.197,-9.601,24.059,-4.203,-2.539,-40.483,1213.34,-0.822,7.107,-2.454,7.269,-68.026,-709.273
-0.139,-1.197,-9.601,24.059,-4.203,-2.539,-40.512,1213.51,-0.822,7.107,-2.471,7.459,-68.088,-709.276
-0.139,-1.197,-9.601,24.059,-4.203,-2.539,-40.542,1213.68,-0.822,7.107,-2.488,7.647,-68.149,-709.28
-0.785,-1.303,-9.616,19.97,-1.274,-0.341,-40.551,1213.82,-4.627,7.714,-2.519,7.807,-68.185,-709.299
-0.785,-1.303,-9.616,19.97,-1.274,-0.341,-40.562,1214,-4.627,7.714,-2.554,8.011,-68.236,-709.325
-0.819,-1.336,-9.659,14.049,-0.541,-0.219,-40.566,1214.09,-4.8,7.875,-2.58,8.121,-68.256,-709.345
